linkmode,starthour,TotalTrips
Walking,7,1166
Walking,8,3257
Walking,9,2268
Walking,10,2304
Walking,11,2277
Walking,12,2650
Walking,13,2335
Walking,14,1916
Walking,15,3571
Walking,16,2544
Walking,17,2415
Walking,18,2152
Walking,19,1634
Walking,20,904
Walking,21,351
Walking,22,172
Walking,23,87
Walking,24,6
Walking,25,2
Walking,26,9
Walking,27,2
