tripid,persid,hhid,stops,tripno,starthour,startime,arrhour,arrtime,triptime,travtime,waitime,duration,cumdist,origplace1,origplace2,origpurp1,origpurp2,destplace1,destplace2,destpurp1,destpurp2,origLGA,destLGA,trippurp,linkmode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,wdtripwgt_LGA,wetripwgt_LGA
Y12H0000242P05T01,Y12H0000242P05,Y12H0000242,1,1,8,480,8,500,20,20,0,5,2.22,Accommodation,Survey Home,At Home,At home,Shops,Retail NEC,Accompany Someone,Accompanied someone,Frankston (C),Frankston (C),Accompany Someone,Walking,2.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000242P05T02,Y12H0000242P05,Y12H0000242,1,2,8,505,8,520,15,15,0,110,2.22,Shops,Retail NEC,Accompany Someone,Accompanied someone,Accommodation,Survey Home,At or Go Home,Go home,Frankston (C),Frankston (C),Accompany Someone,Walking,2.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000242P05T03,Y12H0000242P05,Y12H0000242,1,3,10,630,10,640,10,10,0,70,3.61,Accommodation,Survey Home,At Home,At home,Shops,Shopping Centre,Accompany Someone,Accompanied someone,Frankston (C),Frankston (C),Accompany Someone,Vehicle Passenger,3.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000242P05T04,Y12H0000242P05,Y12H0000242,1,4,11,710,11,719,9,9,0,61,3.61,Shops,Shopping Centre,Accompany Someone,Accompanied someone,Accommodation,Survey Home,At or Go Home,Go home,Frankston (C),Frankston (C),Accompany Someone,Vehicle Passenger,3.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000242P05T05,Y12H0000242P05,Y12H0000242,1,5,13,780,13,786,6,6,0,69,3.01,Accommodation,Survey Home,At Home,At home,Recreational Place,Skating Rink,Recreational,Recreational (NEC),Frankston (C),Frankston (C),Recreational,Vehicle Passenger,3.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000242P05T06,Y12H0000242P05,Y12H0000242,1,6,14,855,14,862,7,7,0,N/A,3.01,Recreational Place,Skating Rink,Recreational,Recreational (NEC),Accommodation,Survey Home,At or Go Home,Go home,Frankston (C),Frankston (C),Recreational,Vehicle Passenger,3.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,451.88
Y12H0000301P01T01,Y12H0000301P01,Y12H0000301,1,1,8,480,8,510,30,30,0,550,7.75,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,7.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.5,
Y12H0000301P01T02,Y12H0000301P01,Y12H0000301,1,2,17,1060,18,1090,30,30,0,N/A,7.75,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,7.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.5,
Y12H0000302P01T01,Y12H0000302P01,Y12H0000302,1,1,9,570,9,580,10,10,0,470,0.96,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,0.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,
Y12H0000302P01T02,Y12H0000302P01,Y12H0000302,1,2,17,1050,17,1065,15,15,0,N/A,0.96,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,0.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,
Y12H0000303P01T01,Y12H0000303P01,Y12H0000303,3,1,7,430,7,460,30,30,0,380,10.25,Accommodation,Survey Home,At Home,At home,Workplace,Another Workplace,Work Related,Employer's Business,Stonnington (C),Yarra (C),Work Related,Train,1.04,8.31,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,15,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P01T02,Y12H0000303P01,Y12H0000303,3,2,14,840,14,880,40,35,5,45,10.25,Workplace,Another Workplace,Work Related,Employer's Business,Accommodation,Survey Home,At or Go Home,Go home,Yarra (C),Stonnington (C),Change Mode,Train,0.9,8.31,1.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,Train,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,20,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P01T03,Y12H0000303P01,Y12H0000303,1,3,15,925,15,930,5,5,0,5,0.65,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Stonnington (C),Stonnington (C),Pick-up or Drop-off Someone,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P01T04,Y12H0000303P01,Y12H0000303,1,4,15,935,15,940,5,5,0,205,0.65,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Pick-up or Drop-off Someone,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P01T05,Y12H0000303P01,Y12H0000303,1,5,19,1145,19,1155,10,10,0,75,2.99,Accommodation,Survey Home,At Home,At home,Shops,Shopping Centre,Buy Something,Bought something,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P01T06,Y12H0000303P01,Y12H0000303,1,6,20,1230,20,1240,10,10,0,N/A,2.99,Shops,Shopping Centre,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.91,
Y12H0000303P02T01,Y12H0000303P02,Y12H0000303,1,1,8,520,8,525,5,5,0,0,0.65,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Stonnington (C),Stonnington (C),Pick-up or Drop-off Someone,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T02,Y12H0000303P02,Y12H0000303,1,2,8,525,8,535,10,10,0,0,0.65,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Pick-up or Drop-off Someone,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T03,Y12H0000303P02,Y12H0000303,1,3,8,535,9,555,20,20,0,15,8.46,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,8.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T04,Y12H0000303P02,Y12H0000303,1,4,9,570,10,600,30,30,0,45,10.6,Workplace,My Workplace,Work Related,Own Workplace,Workplace,Another Workplace,Work Related,Employer's Business,Stonnington (C),Maribyrnong (C),Work Related,Vehicle Driver,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T05,Y12H0000303P02,Y12H0000303,1,5,10,645,11,675,30,30,0,46,21.23,Workplace,Another Workplace,Work Related,Employer's Business,Workplace,Another Workplace,Work Related,Employer's Business,Maribyrnong (C),Wyndham (C),Work Related,Vehicle Driver,21.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T06,Y12H0000303P02,Y12H0000303,1,6,12,721,12,729,8,8,0,80,4.61,Workplace,Another Workplace,Work Related,Employer's Business,Workplace,Another Workplace,Work Related,Employer's Business,Wyndham (C),Wyndham (C),Work Related,Vehicle Driver,4.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T07,Y12H0000303P02,Y12H0000303,1,7,13,809,14,842,33,33,0,118,33.95,Workplace,Another Workplace,Work Related,Employer's Business,Workplace,My Workplace,Work Related,Own Workplace,Wyndham (C),Stonnington (C),Work Related,Vehicle Driver,33.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P02T08,Y12H0000303P02,Y12H0000303,1,8,16,960,16,975,15,15,0,N/A,8.46,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Work Related,Vehicle Driver,8.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.73,
Y12H0000303P03T01,Y12H0000303P03,Y12H0000303,1,1,8,520,8,525,5,5,0,410,0.65,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Education,At school,Stonnington (C),Stonnington (C),Education,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.76,
Y12H0000303P03T02,Y12H0000303P03,Y12H0000303,1,2,15,935,15,940,5,5,0,N/A,0.65,Place of Education,Primary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Education,Walking,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.76,
Y12H0000306P01T01,Y12H0000306P01,Y12H0000306,1,1,11,660,11,680,20,20,0,10,4.89,Accommodation,Survey Home,At Home,At home,Shops,Food Store,Buy Something,Bought something,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,4.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,194.91
Y12H0000306P01T02,Y12H0000306P01,Y12H0000306,1,2,11,690,11,700,10,10,0,50,1.53,Shops,Food Store,Buy Something,Bought something,Shops,Shopping Centre,Buy Something,Bought something,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,1.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,194.91
Y12H0000306P01T03,Y12H0000306P01,Y12H0000306,1,3,12,750,12,765,15,15,0,210,3.85,Shops,Shopping Centre,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,3.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,194.91
Y12H0000306P01T04,Y12H0000306P01,Y12H0000306,1,4,16,975,16,995,20,20,0,40,13.55,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Stonnington (C),Melbourne (C),Social,Vehicle Passenger,13.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,194.91
Y12H0000306P01T05,Y12H0000306P01,Y12H0000306,1,5,17,1035,17,1065,30,30,0,N/A,13.55,Accommodation,Someone Else's Home,Social,Visited someone,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Stonnington (C),Social,Vehicle Passenger,13.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,194.91
Y12H0000306P02T01,Y12H0000306P02,Y12H0000306,1,1,16,975,16,995,20,20,0,40,13.55,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Stonnington (C),Melbourne (C),Social,Vehicle Driver,13.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,237.56
Y12H0000306P02T02,Y12H0000306P02,Y12H0000306,1,2,17,1035,17,1065,30,30,0,N/A,13.55,Accommodation,Someone Else's Home,Social,Visited someone,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Stonnington (C),Social,Vehicle Driver,13.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,237.56
Y12H0000307P01T01,Y12H0000307P01,Y12H0000307,1,1,11,690,12,720,30,30,0,120,16.14,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Stonnington (C),Whitehorse (C),Social,Vehicle Driver,16.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P01T02,Y12H0000307P01,Y12H0000307,1,2,14,840,14,860,20,20,0,40,9.54,Accommodation,Someone Else's Home,Social,Visited someone,Accommodation,Someone Else's Home,Social,Visited someone,Whitehorse (C),Maroondah (C),Social,Vehicle Driver,9.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P01T03,Y12H0000307P01,Y12H0000307,1,3,15,900,15,920,20,20,0,20,9.31,Accommodation,Someone Else's Home,Social,Visited someone,Shops,Retail NEC,Buy Something,Bought something,Maroondah (C),Knox (C),Buy Something,Vehicle Driver,9.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P01T04,Y12H0000307P01,Y12H0000307,1,4,15,940,16,960,20,20,0,0,7.8,Shops,Retail NEC,Buy Something,Bought something,Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or delivered,Knox (C),Whitehorse (C),Pick-up or Drop-off Someone,Vehicle Driver,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P01T05,Y12H0000307P01,Y12H0000307,1,5,16,960,16,980,20,20,0,5,12.34,Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or delivered,Shops,Petrol Station,Buy Something,Bought something,Whitehorse (C),Monash (C),Buy Something,Vehicle Driver,12.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P01T06,Y12H0000307P01,Y12H0000307,1,6,16,985,16,995,10,10,0,N/A,4.7,Shops,Petrol Station,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Monash (C),Stonnington (C),Buy Something,Vehicle Driver,4.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,211.06
Y12H0000307P02T01,Y12H0000307P02,Y12H0000307,1,1,9,570,9,572,2,2,0,8,0.58,Accommodation,Survey Home,At Home,At home,Shops,Petrol Station,Buy Something,Bought something,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T02,Y12H0000307P02,Y12H0000307,1,2,9,580,9,583,3,3,0,107,0.58,Shops,Petrol Station,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Stonnington (C),Stonnington (C),Buy Something,Vehicle Driver,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T03,Y12H0000307P02,Y12H0000307,1,3,11,690,12,720,30,30,0,120,16.14,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Stonnington (C),Whitehorse (C),Social,Vehicle Passenger,16.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T04,Y12H0000307P02,Y12H0000307,1,4,14,840,14,860,20,20,0,40,9.54,Accommodation,Someone Else's Home,Social,Visited someone,Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,Whitehorse (C),Maroondah (C),Accompany Someone,Vehicle Passenger,9.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T05,Y12H0000307P02,Y12H0000307,1,5,15,900,15,920,20,20,0,20,9.31,Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,Shops,Retail NEC,Buy Something,Bought something,Maroondah (C),Knox (C),Buy Something,Vehicle Passenger,9.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T06,Y12H0000307P02,Y12H0000307,1,6,15,940,16,960,20,20,0,0,7.8,Shops,Retail NEC,Buy Something,Bought something,Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or delivered,Knox (C),Whitehorse (C),Pick-up or Drop-off Someone,Vehicle Passenger,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T07,Y12H0000307P02,Y12H0000307,1,7,16,960,16,980,20,20,0,5,12.34,Accommodation,Someone Else's Home,Pick-up or Drop-off Someone,Someone picked-up or delivered,Shops,Petrol Station,Buy Something,Bought something,Whitehorse (C),Monash (C),Buy Something,Vehicle Passenger,12.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P02T08,Y12H0000307P02,Y12H0000307,1,8,16,985,16,995,10,10,0,N/A,4.7,Shops,Petrol Station,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Monash (C),Stonnington (C),Buy Something,Vehicle Passenger,4.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,247.71
Y12H0000307P03T01,Y12H0000307P03,Y12H0000307,1,1,11,690,12,720,30,30,0,120,16.14,Accommodation,Survey Home,At Home,At home,Accommodation,Someone Else's Home,Social,Visited someone,Stonnington (C),Whitehorse (C),Social,Vehicle Passenger,16.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,288.03
Y12H0000307P03T02,Y12H0000307P03,Y12H0000307,1,2,14,840,14,860,20,20,0,40,9.54,Accommodation,Someone Else's Home,Social,Visited someone,Accommodation,Someone Else's Home,Social,Visited someone,Whitehorse (C),Maroondah (C),Social,Vehicle Passenger,9.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,288.03
